Problem,Fault,Frating,Symptoms,Verification Tests,Verification Result,Vrating,Vpass,Verification Hint,Identification Tests,Identification Result,Irating,Ipass,Identification Hint,Rectification Actions,Rectification Result,Rrating,Rpass,Rectification Hint
"Starter ""machine guns"" but does not crank engine.",Battery discharged.,A,Dash lights and dome light are very dim.,Crank engine with starter and listen to cranking sound and speed.,"Starter ""machine guns"" and lights dim considerably.",1,Yes,Have you checked the battery capacity and voltage?,Load test/capacity test the battery.,Battery voltage falls to 3 volts during load test/capacity test.,1,Yes,Has the battery ID been checked to ensure it is the correct one for the vehicle?,"Charge battery, retest to ensure correct operation.",Well done! You have corrected the problem and the starter now operates normally.,1,Yes,Have you tried to the recharge the battery?
,,,,Perform visual  inspection.,All looks good visually.,2,No,,"Test alternator wiring for proper power, grounds and continuity.",Alternator wiring meets specifications.,2,No,,Clean battery terminals.,This did not correct the fault. Try again.,2,No,
,,,,Check for parasitic battery drain.,Drain is OK. Less than specified.,2,No,,"Perform a ""Starter Draw"" test.",Voltage is good. Amperage is low. Further tests determine a voltage drop of 3.5 volts across solenoid contacts.,2,No,,Replace horn relay.,Replacing this component did not rectify the fault. Try again.,2,No,
,,,,"Check fusible link or main fuse, voltage drop when switch in start position.",Voltage drop within specifications.,2,No,,"Test alternator to verify ""Full Field"" output.","The vehicle will not start, so you can not perform this test.",2,No,,Replace voltage regulator and/or alternator.,Replacing this component did not rectify the fault. Try again.,2,No,
,,,,Test neutral safety switch.,Switch operates normally.,2,No,,Visual inspection and mechanical inspection.,All looks good visually.,2,No,,Replace solenoid and/or starter.,Replacing this component did not rectify the fault. Try again.,2,No,
,,,,Check ignition switch for power on starter terminal.,Battery voltage measured at that point.,2,No,,Check for parasitic battery drain.,Drain is OK. Less than specified.,2,No,,Replace ground strap.,Replacing this component did not rectify the fault. Try again.,2,No,
,,,,Perform charging system output test.,"The vehicle will not start, so you can not perform this test. ",2,No,,"Check fusible link or main fuse, voltage drop when switch in start position.",Voltage drop within specifications.,2,No,,Replace wiring harness or terminal.,Replacing this component did not rectify the fault. Try again.,2,No,
,,,,Perform voltage regulator test.,"The vehicle will not start, so you can not perform this test. ",2,No,,Test neutral safety switch.,Switch operates normally.,2,No,,Replace faulty ignition switch.,Replacing this component did not rectify the fault. Try again.,2,No,
,,,,Check engine for mechanical lock-up.,Engine rotates with the proper torque.,2,No,,Check ignition switch for power on starter terminal.,Battery voltage measured at that point.,2,No,,Replace fusible link.,Replacing this component did not rectify the fault. Try again.,2,No,
,,,,,,,,,Voltage regulator test.,"The vehicle will not start, so you can not perform this test. ",2,No,,Replace or adjust neutral safety switch.,Replacing this component did not rectify the fault. Try again.,2,No,
,,,,,,,,,Check engine for mechanical lock-up.,Engine rotates with the proper torque.,2,No,,,,,,
