Problem,Fault,Frating,Symptoms,Verification Tests,Verification Result,Vrating,Vpass,Verification Hint,Identification Tests,Identification Result,Irating,Ipass,Identification Hint,Rectification Actions,Rectification Result,Rrating,Rpass,Rectification Hint
Hard pedal.,Faulty power booster.,A,Excessive stopping distance.,Test Drive for specified condition.,Brake pedal requires excessive pressure to stop vehicle.,1,Yes,Do the brakes operate normally?,Perform power booster operation test.,"Vacuum present at booster, but brake booster does not ""boost"" pedal force when engine is started while applying moderate pressure on brake pedal.",1,Yes,Is there any power assistance during brake application?,Replace power brake booster.,"Correct, replacing the  power brake booster solved the issue.",1,Yes,Is there any power assistance during brake application?
,,,,Check for fluid leaks.,No leaks apparent.,2,No,,Measure rotor thickness variation and run-out.,Rotor parallelism and run-out meet specifications.,2,No,,Resurface/replace drums.,This did not rectify the issue.,2,No,
,,,,Depress brake pedal with light to moderate pressure. Check for sinking pedal.,Brake pedal holds pressure.,2,No,,Perform visual inspection of drum brake assemblies.,Brake assemblies appear to be in good condition. ,2,No,,Replace power brake booster check valve.,Changing this component did not rectify the issue.,2,No,
,,,,Perform visual inspection of brake assemblies. ,Brake assemblies appear to be in good condition. ,2,No,,Check master cylinder for internal leaks.,No internal leak identified in master cylinder reservoir.,2,No,,Replace master cylinder.,Changing this component did not rectify the issue.,2,No,
,,,,Raise vehicle on hoist. Check for locking action on each wheel on light pedal application.,Brakes apply normally.,2,No,,Bleed brakes.,No air bubbles present at various wheel assemblies.,2,No,,Bleed brakes and inspect for conditions that would admit air to the system. ,Changing this component did not rectify the issue.,2,No,
,,,,"Turn ignition key to ""run"" position. Apply and release parking brake.",Park brake and brake warning lamp operate normally.,2,No,,Perform visual inspection of parking brake assemblies.,No excessive brake shoe to drum clearance found. ,2,No,,Clean/replace self-adjusters and pre-adjust brakes.,Carrying out this action did not rectify the issue.,2,No,
,,,,Visual inspection of fluid level.,"Inspection shows the master cylinder reservoir is between ""min"" and ""max"".",2,No,,Check brake fluid level in reservoir.,Fluid level is okay.,2,No,,Replace grease seals and brake shoes in both rear brake assemblies.,Carrying out this action did not rectify the issue.,2,No,
,,,,,,,,,Perform visual inspection of disc brake assemblies.,Brake assemblies appear to be in good condition. ,2,No,,Rebuild/Replace caliper and pads on both front brake assemblies.,Carrying out this action did not rectify the issue.,2,No,
,,,,,,,,,Check wheel bearing adjustment.,Wheel bearings are adjusted properly.,2,No,,"Inspect for leaks/worn pads, if none found top off brake fluid.",Carrying out this action did not rectify the issue.,2,No,
,,,,,,,,,,,,,,"Clean, inspect, repack, and adjust wheel bearings. ",Carrying out this action did not rectify the issue.,2,No,
